BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,Location,SteamUse %,Electricity %,NaturalGas %,total other type %,location_type
Nonresidential COS,Other,1.0,60696,,875943.3125,6.11,88,MercerSt.,0.0,0.9999996432417537,0.0,3.567582462782326e-07,city_center
Nonresidential COS,Other,2.0,262048,,20723248.0,490.73,88,MercerSt.,0.24789646873887722,0.6520544462914307,0.0,0.100049084969692,city_center
NonResidential,Large Office,6.0,616891,93.0,36667044.0,674.09,6,5thAveN,0.0,0.7526448273277769,0.2473550908548832,8.18173399030897e-08,city_center
NonResidential,Small- and Mid-Sized Office,4.0,50283,68.0,3476212.5,48.76,46,1stAve.W,0.0,0.8470978111953743,0.15290204496992058,1.4383470514633956e-07,city_center
SPS-District K-12,K-12 School,3.0,59955,93.0,1633399.375,20.48,27,46thAve.S.,0.0,0.8794028098608768,0.12059696055656934,2.295825538567442e-07,south
NonResidential,Other,4.0,56521,,6357632.0,44.32,75,NE64thst,0.0,0.9999998427087318,0.0,1.572912682323846e-07,north
NonResidential,Other,2.0,206934,,4253577.5,133.58,87,RooseveltWayNE#18-28,0.0,0.4704517550226838,0.5295481274292052,1.175481110227139e-07,north
SPS-District K-12,K-12 School,1.0,245587,92.0,11765682.0,443.73,57,N.135thSt.,0.0,0.3336832493008055,0.6663166657062464,8.499294812391867e-08,north
NonResidential,Hotel,3.0,69138,78.0,3242458.0,89.02,14,StoneAvenueN,0.0,0.5560253980159496,0.44397429357604634,3.084080040238746e-07,north
NonResidential,Hotel,5.0,190980,98.0,6505995.0,142.39,112,FirstAve.,0.0,0.6767466006352603,0.32325324566034863,1.5370439110373724e-07,city_center
Nonresidential COS,Other,6.0,284100,,14641502.0,429.12,18,UniversityStreet,0.2944462938296904,0.6695365680378966,0.036017001534405416,1.3659800757181983e-07,city_center
NonResidential,Other,4.0,59000,,2010454.625,46.26,106,SouthKingStreet,0.0,0.6524240754749687,0.34757561365007184,3.1087495944159826e-07,south
SPS-District K-12,K-12 School,4.0,289588,90.0,8819852.0,170.84,26,S.Mt.BakerBlvd.,0.0,0.7312780305157048,0.26872174272312055,2.2676117461539747e-07,south
NonResidential,Small- and Mid-Sized Office,2.0,96300,,16319835.0,222.02,14,PointWayNE,0.0,0.8562400293875521,0.14375984806218936,1.2255025860774538e-07,north
Nonresidential COS,Other,1.0,67356,,7475577.5,204.08,66,SCharlesSt,0.0,0.5594217971788802,0.44057813593665507,6.688446474445442e-08,south
SPS-District K-12,K-12 School,3.0,254523,60.0,13567774.0,359.09,8,23rdAve.,0.0,0.5774760841387836,0.42252384215715855,7.370405785689371e-08,city_center
SPS-District K-12,K-12 School,3.0,66994,79.0,2371304.5,41.74,14,33rdAve.,0.0,0.7695532142750963,0.2304465748704985,2.1085440526924515e-07,center_both_side
SPS-District K-12,K-12 School,3.0,98357,88.0,3456131.5,94.64,16,BeaconAveS,0.0,0.5575791893335077,0.44242066599607105,1.4467042119825635e-07,south
NonResidential,Small- and Mid-Sized Office,1.0,54765,,4253369.5,61.21,58,SOthelloSt,0.0,0.8391786793975929,0.16082120304854775,1.175538593134462e-07,south
NonResidential,University,2.0,52611,,4116871.5,104.26,36,3rdAve.W,0.0,0.6022225857668864,0.39777729278166685,1.2145144678843423e-07,north
SPS-District K-12,K-12 School,2.0,236758,96.0,8355988.5,222.78,5,30thAve.N.E.,0.0,0.5732353509103082,0.42676446957771663,1.7951197517351858e-07,north
NonResidential,Other,11.0,230638,,65336980.0,2055.82,12,9thAve.,0.0,0.46913163112222206,0.5308682923514371,7.652634081978249e-08,city_center
NonResidential,Retail Store,1.0,530039,98.0,27717034.0,723.47,65,NorthgateWay,0.0,0.5853631019827014,0.41463682585950573,7.215779285196788e-08,north
NonResidential,Other,3.0,54224,,7265178.0,231.53,52,8thAveNE,0.0,0.4603916105014908,0.5396082518556324,1.3764287676298892e-07,north
NonResidential,Retail Store,4.0,124342,76.0,8765978.0,66.3,51,NENorthgateWay,0.0,0.9871826052951536,0.012817280627443965,1.140774025243374e-07,north
NonResidential,Other,3.0,55442,72.0,3191228.25,83.7,20,MeridianN#102,0.0,0.5826424355575318,0.4173574861027255,7.833974269289001e-08,north
SPS-District K-12,K-12 School,2.0,242795,80.0,9157150.0,123.71,17,N.W.65thSt.,0.0,0.8582871308212708,0.14171275997444618,1.0920428294980411e-07,north
NonResidential,Self-Storage Facility,5.0,84870,,1381590.125,51.11,106,E.Madison,0.0,0.34933298325362594,0.6506669262709156,9.047545845852767e-08,city_center
SPS-District K-12,K-12 School,2.0,173185,79.0,6127771.5,242.36,64,S.GrahamSt.,0.0,0.293863274764733,0.7061366436395352,8.159573172683565e-08,south
NonResidential,Retail Store,1.0,64984,72.0,2944296.25,35.78,50,SWBartonSt,0.0,0.8877119617293946,0.1122879533606715,8.490993386178758e-08,south
NonResidential,Other,3.0,56000,,1851260.5,59.34,43,NW67thSt.,0.0,0.4563722933644401,0.5436274365493133,2.7008624658986236e-07,north
NonResidential,Hotel,5.0,93920,79.0,9373179.0,309.6,18,FairviewAveN,0.0,0.4352010134448515,0.5647988798677589,1.0668738958941049e-07,city_center
Nonresidential COS,Other,1.0,50000,,7548807.0,225.69,116,TerryAveN,0.0,0.503115790349389,0.4968840771793477,1.3247126329218872e-07,city_center
NonResidential,Hotel,7.0,153315,76.0,11171988.0,338.16,18,WestlakeAveNorth,0.0,0.4950584443878744,0.5049414661025414,8.950958418907362e-08,city_center
Nonresidential COS,Small- and Mid-Sized Office,2.0,91130,,9472358.0,175.77,59,N97thST,0.0,0.7489142618976183,0.25108563253204746,1.0557033425229179e-07,north
SPS-District K-12,K-12 School,3.0,58118,97.0,1407277.25,21.29,25,SWMyrtle,0.0,0.8231903130673078,0.1768095092846843,1.776480078596876e-07,south
NonResidential,Small- and Mid-Sized Office,3.0,44558,78.0,1677002.25,28.27,116,Swashingtonst,0.0,0.7857097389106067,0.21429011201386283,1.490755304756064e-07,city_center
NonResidential,Other,6.0,1258280,,59757440.0,892.63,17,OccidentalAve.South,0.0,0.8273432396033029,0.17265662652215355,1.338745435619515e-07,south
Nonresidential COS,Distribution Center,2.0,179161,,9436408.0,96.43,92,4thAveS,0.0,0.9296020265338252,0.07039776152112118,2.1194505361865623e-07,south
Nonresidential COS,Warehouse,2.0,58640,,3928695.25,27.39,51,4thAveS,0.0,0.999999936365642,0.0,6.363435800516015e-08,south
NonResidential,Other,3.0,1172127,,58761304.0,1246.55,17,FirstAvenueSouth,0.0,0.691311768710919,0.30868818023507444,5.105400657789971e-08,south
NonResidential,Hotel,9.0,153882,64.0,12726789.0,388.37,11,1stAveS,0.0,0.48969406187216585,0.5103058595534191,7.857441497449713e-08,south
NonResidential,Other,6.0,84739,,9134963.0,162.41,8,NEThorntonPlace,0.0,0.7657662105473224,0.23423367998315922,1.0946951833901153e-07,north
NonResidential,Hotel,0.0,934292,,65047284.0,1638.46,17,PineSt,0.0,0.6051615314176684,0.39483834559487524,1.2298745644123699e-07,city_center
NonResidential,Warehouse,3.0,67236,91.0,549181.375,9.63,25,StoneWayNorth,0.0,0.770931097217199,0.2290682199482821,6.828345189280327e-07,north
NonResidential,Senior Care Community,5.0,90185,,10105379.0,193.94,17,S.DearbornSt.,0.0,0.7351348227513288,0.2648649793342734,1.979143977592912e-07,south
NonResidential,Hotel,16.0,106860,49.0,11935719.0,469.57,85,BrooklynAveNE,0.0,0.2984103429378657,0.7015895732800009,8.378213334214735e-08,north
SPS-District K-12,K-12 School,3.0,75174,77.0,2733846.0,71.86,15,N.E.60th,0.0,0.5814310681728232,0.4185685660421253,3.657850515814687e-07,north
SPS-District K-12,K-12 School,2.0,64414,67.0,2295176.5,16.0,25,S.IrvingSt.,0.0,0.9999997821518302,0.0,2.1784816983672073e-07,south
NonResidential,Other,15.0,230880,,62197176.0,433.6,61,3rdAve,0.0,0.9999999196104981,0.0,8.038950194411143e-08,city_center
SPS-District K-12,K-12 School,3.0,204961,94.0,8190809.0,226.06,9,15thAve.S.,0.0,0.5529033823154709,0.44709649559646675,1.220880623264975e-07,south
NonResidential,Medical Office,5.0,151000,1.0,28731502.0,661.04,89,ElliottAvenueWest,0.0,0.652435121560996,0.34756480882899893,6.961000509342341e-08,city_center
NonResidential,Hotel,4.0,122309,8.0,25453690.0,1060.13,55,AlaskanWay,0.0,0.24839357279828583,0.751606348627645,7.857406925104726e-08,city_center
NonResidential,Hotel,8.0,215473,29.0,26659244.0,780.84,13,AlaskanWay,0.0,0.5162765305722848,0.48372339440683315,7.502088195110446e-08,city_center
Nonresidential COS,Other,2.0,69400,,14833476.0,301.76,36,AlaskanWay,0.0,0.710175416739812,0.2898244484300241,1.348301639225724e-07,city_center
NonResidential,Warehouse,4.0,203504,72.0,3785282.5,26.39,8,MAYNARDAVES,0.0,0.9999998679094625,0.0,1.3209053750795618e-07,south
NonResidential,Small- and Mid-Sized Office,4.0,59158,57.0,5007401.0,68.19,35,CedarStreet,0.0,0.8559534177510449,0.14404638254455754,1.9970439746330726e-07,city_center
NonResidential,Large Office,12.0,212210,39.0,18661606.0,149.27,38,FourthAvenue,0.0,0.9777374466056137,0.022262392636517993,1.6075786835045847e-07,city_center
NonResidential,Large Office,25.0,369996,74.0,24755086.0,172.58,27,5thAvenue,0.0,0.9999999192085214,0.0,8.079147861828062e-08,city_center
NonResidential,Retail Store,10.0,693450,93.0,40062888.0,398.19,91,PineStreet,0.0005299368527800592,0.9359551912483194,0.0635147421224351,1.297764654628608e-07,city_center
NonResidential,Large Office,23.0,542671,90.0,30985420.0,359.11,16,Seventh,0.0,0.8999051489377907,0.10009472196923586,1.29092973422118e-07,city_center
NonResidential,Small- and Mid-Sized Office,10.0,55652,90.0,3444270.0,170.51,90,StewartStreet,0.6057668969041335,0.39423303051154523,0.0,7.258432122014824e-08,city_center
